Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr14	ENSG00000166126	AMN	103388993	103399933	4646	0.366	1.288	0.064163127	0.209476137
chr16	ENSG00000166123	GPT2	46918290	46965209	6354	0.778	1.714	0.00015438	0.001876758
chr11	ENSG00000166106	ADAMTS15	130318869	130346532	5669	0.611	1.527	0.021344256	0.098569265
chr15	ENSG00000166104	hsa-mir-7162	62520095	62545434	4464	-0.099	0.934	0.849360966	0.935347197
chr11	ENSG00000166086	JAM3	133938820	134021896	5451	-3.264	0.104	1.39E-08	3.59E-07
chr15	ENSG00000166073	GPR176	40091233	40213093	5119	-1.465	0.362	0.000774812	0.007482776
chr15	ENSG00000166068	SPRED1	38544527	38649450	8260	-1.346	0.394	1.89E-09	5.44E-08
chrX	ENSG00000166049	PASD1	150732094	150845211	4429	0.504	1.418	0.351417912	0.598321843
chr12	ENSG00000166046	TCP11L2	106695707	106740793	6558	-0.292	0.817	0.294416853	0.540507942
chr11	ENSG00000166037	CEP57	95523129	95565857	7101	-0.02	0.986	0.90252416	0.958289447
chr10	ENSG00000166033	HTRA1	124221041	124274424	2120	-4.649	0.04	9.51E-09	2.50E-07
chr11	ENSG00000166025	AMOTL1	94439597	94609918	10035	0.024	1.017	0.924065357	0.967801645
chr10	ENSG00000166024	R3HCC1L	99894387	100004654	3559	0.284	1.218	0.194371886	0.425287482
chr11	ENSG00000166016	ABTB2	34172535	34379555	4973	0.257	1.195	0.352546975	0.599416478
chr11	ENSG00000166012	TAF1D	93463114	93517557	8420	-0.138	0.909	0.556935563	0.766345183
chr11	ENSG00000166004	KIAA1731	93394805	93463522	9493	0.328	1.255	0.144682706	0.35368631
chr11	ENSG00000166002	SMCO4	93211638	93276674	1223	-0.929	0.525	0.000318904	0.003563799
chr10	ENSG00000165997	ARL5B	18948334	18970568	7196	-0.421	0.747	0.065119223	0.211356257
chr10	ENSG00000165996	PTPLA	17631958	17659376	2175	-0.283	0.822	0.612974489	0.804481508
chr10	ENSG00000165983	PTER	16478942	16555736	3998	-0.69	0.62	0.016575298	0.082222982
chr11	ENSG00000165973	NELL1	20691117	21597227	5289	0.011	1.008	0.982879492	0.994773062
chr12	ENSG00000165966	PDZRN4	41582250	41968392	4586	-2.14	0.227	0.000129961	0.00161593
chr14	ENSG00000165959	CLMN	95648277	95786243	15701	0.606	1.522	0.011301648	0.062508224
chr14	ENSG00000165949	IFI27	94571182	94583033	4157	0.033	1.023	0.956734705	0.982790227
chr14	ENSG00000165948	IFI27L1	94547628	94570192	2380	0.556	1.47	0.064288432	0.209694972
chr14	ENSG00000165943	MOAP1	93648541	93651273	2537	0.049	1.035	0.758606243	0.888943827
chr14	ENSG00000165934	CPSF2	92588281	92630755	5861	0.07	1.05	0.682428614	0.848583808
chr14	ENSG00000165929	TC2N	92246095	92333880	6147	-0.196	0.873	0.354126785	0.600853367
chr11	ENSG00000165916	PSMC3	47440320	47447993	2245	0.244	1.184	0.157258281	0.372926188
chr11	ENSG00000165915	SLC39A13	47428683	47438047	4579	-0.122	0.919	0.491363953	0.717582812
chr14	ENSG00000165914	TTC7B	91006932	91282823	5244	-0.08	0.946	0.72247532	0.871114861
chr11	ENSG00000165912	PACSIN3	47199076	47207994	2752	0.175	1.129	0.430953292	0.668240523
chr11	ENSG00000165905	GYLTL1B	45943172	45950647	3115	0.623	1.54	0.003997445	0.028812183
chr14	ENSG00000165898	ISCA2	74960423	74963809	3061	-0.017	0.988	0.939813723	0.974837706
chr11	ENSG00000165895	ARHGAP42	100558384	100862668	6944	-0.581	0.668	0.068733109	0.219185766
chr12	ENSG00000165891	E2F7	77415027	77459360	6303	0.92	1.892	0.001748734	0.014962371
chr10	ENSG00000165887	ANKRD2	99332198	99343641	1509	0.155	1.113	0.70830268	0.863341361
chr10	ENSG00000165886	UBTD1	99258625	99330966	1706	-0.161	0.895	0.460163887	0.692536065
chr10	ENSG00000165879	FRAT1	99079022	99081672	2651	0.074	1.052	0.793682344	0.907757468
chr10	ENSG00000165874	FAM35BP	46897592	46939143	3630	0.128	1.093	0.711220053	0.865090996
chr10	ENSG00000165868	HSPA12A	118430703	118502085	6754	-0.352	0.783	0.241390068	0.484287478
chr10	ENSG00000165863	C10orf82	118423207	118429775	2411	0.995	1.993	0.0063928	0.040917559
chr14	ENSG00000165861	ZFYVE1	73436159	73493920	5306	0.113	1.081	0.572983449	0.776482566
chr10	ENSG00000165841	CYP2C19	96447911	96613017	3743	-0.353	0.783	0.487532292	0.714466808
chr10	ENSG00000165832	TRUB1	116697952	116737430	3596	-0.427	0.744	0.033946995	0.136303131
chr14	ENSG00000165821	SALL2	21989232	22005350	5365	0.57	1.484	0.001086315	0.010026855
chr14	ENSG00000165819	METTL3	21966277	21979517	5654	0.464	1.379	0.017283817	0.084686939
chr10	ENSG00000165816	VWA2	115999018	116051272	3368	0.67	1.591	0.056852466	0.193253272
chr10	ENSG00000165813	C10orf118	115880621	115933979	8991	-0.191	0.876	0.329889489	0.576585554
chr5	ENSG00000165810	BTNL9	180467225	180488523	5565	-0.993	0.502	0.002915419	0.022454715
chr10	ENSG00000165806	CASP7	115438942	115490662	3466	-0.406	0.755	0.052863575	0.184147425
chr12	ENSG00000165805	C12orf50	88373816	88427814	5605	0.899	1.865	0.001842364	0.015591634
chr14	ENSG00000165804	ZNF219	21558205	21572881	4643	0.661	1.581	0.000854068	0.00814329
chr9	ENSG00000165802	NSMF	140342022	140353786	4974	0.639	1.557	0.001147653	0.010513528
chr14	ENSG00000165801	ARHGEF40	21538429	21558399	8189	0.319	1.248	0.088989702	0.259338574
chr14	ENSG00000165795	NDRG2	21484922	21539031	7550	0.083	1.059	0.744669638	0.883054454
chr14	ENSG00000165792	METTL17	21457929	21465189	4444	0.416	1.334	0.031271101	0.128718747
chr14	ENSG00000165782	TMEM55B	20925878	20929771	3803	0.139	1.101	0.441105584	0.677569509
chrX	ENSG00000165775	FUNDC2	154254255	154288578	10252	-0.16	0.895	0.402276238	0.643431847
chr10	ENSG00000165757	KIAA1462	30301729	30404423	9515	-2.414	0.188	9.54E-07	1.90E-05
chr10	ENSG00000165752	STK32C	134020996	134145351	3543	0.206	1.153	0.405543022	0.646073433
chr10	ENSG00000165733	BMS1	43278249	43330385	7753	0.351	1.276	0.045021049	0.165040489
chr10	ENSG00000165732	DDX21	70715884	70744829	4711	0.176	1.13	0.326118758	0.572665303
chr10	ENSG00000165731	RET	43572475	43625799	6661	-0.819	0.567	0.036007767	0.142010465
chr10	ENSG00000165730	STOX1	70587298	70655188	3568	0.6	1.516	0.064983828	0.211044951
chr9	ENSG00000165724	ZMYND19	140476531	140484942	2372	0.663	1.583	0.001655402	0.01427804
chr9	ENSG00000165716	FAM69B	139607022	139618502	2704	0.398	1.318	0.063817527	0.208722716
chr12	ENSG00000165714	LOH12CR1	12510013	12619840	2192	-0.037	0.975	0.880431484	0.948847736
chrX	ENSG00000165704	HPRT1	133594183	133654543	1624	-0.146	0.904	0.47420829	0.703598827
chr9	ENSG00000165699	TSC1	135766735	135820020	9911	0.634	1.552	0.002324873	0.018893003
chr9	ENSG00000165698	C9orf9	135753414	135765588	2823	-0.093	0.938	0.736023252	0.878448401
chr9	ENSG00000165695	AK8	135600965	135754164	2731	0.049	1.034	0.862803271	0.941449235
chr9	ENSG00000165689	SDCCAG3	139296377	139305061	3130	0.281	1.215	0.147511821	0.357706625
chr9	ENSG00000165688	PMPCA	139305110	139318213	5193	0.248	1.188	0.156706764	0.372256153
chr9	ENSG00000165684	SNAPC4	139270029	139293249	5010	0.722	1.65	0.000447313	0.004714739
chr10	ENSG00000165678	GHITM	85899196	85913001	2128	-0.261	0.834	0.172445762	0.395745427
chrX	ENSG00000165675	ENOX2	129757350	130037208	4189	-0.015	0.99	0.946729412	0.977765896
chr10	ENSG00000165672	PRDX3	120927215	120938345	3417	-0.267	0.831	0.145027331	0.354288085
chr5	ENSG00000165671	NSD1	176560026	176727216	15242	0.538	1.452	0.008201564	0.049033053
chr10	ENSG00000165669	FAM204A	120065401	120101840	7059	-0.182	0.882	0.343578048	0.589138448
chr9	ENSG00000165661	QSOX2	139098179	139137687	4530	0.359	1.283	0.077183481	0.236211122
chr10	ENSG00000165660	FAM175B	126490354	126525239	2992	-0.124	0.918	0.51817674	0.737990651
chr13	ENSG00000165659	DACH1	72012098	72441330	5395	-0.152	0.9	0.722440613	0.871114861
chr10	ENSG00000165655	ZNF503	77157588	77161664	3347	0.008	1.006	0.965245481	0.987080635
chr10	ENSG00000165650	PDZD8	119040000	119134978	6666	-0.207	0.867	0.26975994	0.515017066
chr10	ENSG00000165646	SLC18A2	119000604	119038941	4125	-1.008	0.497	0.003857765	0.028044002
chr10	ENSG00000165644	COMTD1	76993727	76995788	1580	0.288	1.221	0.334722579	0.580993074
chr10	ENSG00000165637	VDAC2	76969912	76991206	2827	0.219	1.164	0.252422006	0.495318654
chr10	ENSG00000165633	VSTM4	50222290	50323554	8633	-4.507	0.044	5.88E-09	1.58E-07
chr10	ENSG00000165632	TAF3	7860467	8058590	4872	0.03	1.021	0.896805374	0.956328468
chr10	ENSG00000165630	PRPF18	13628927	13672868	1865	-0.237	0.848	0.26009178	0.503721346
chr10	ENSG00000165629	ATP5C1	7830092	7849778	2347	-0.162	0.894	0.379803352	0.623088061
chr10	ENSG00000165626	BEND7	13480484	13570974	9815	-0.065	0.956	0.818217559	0.920605363
chr13	ENSG00000165621	OXGR1	97637973	97646984	2659	0.357	1.28	0.399695973	0.642425074
chr14	ENSG00000165617	DACT1	59100685	59115039	4490	-3.493	0.089	1.96E-08	5.00E-07
chr10	ENSG00000165609	NUDT5	12207324	12238143	4969	0.147	1.107	0.384397007	0.627137373
chrX	ENSG00000165591	FAAH2	57313139	57515629	2019	-0.469	0.722	0.066595916	0.214461021
chr13	ENSG00000165572	KBTBD6	41701705	41706882	5178	0.037	1.026	0.876722217	0.94767114
chr14	ENSG00000165548	TMEM63C	77582911	77725838	6363	0.509	1.423	0.03296395	0.133548162
chr14	ENSG00000165533	TTC8	89290497	89344335	3170	0.088	1.063	0.685836803	0.850510512
chr14	ENSG00000165527	ARF6	50359810	50361490	1583	-0.082	0.945	0.655599115	0.832430436
chr11	ENSG00000165526	RPUSD4	126071993	126081587	4080	0.179	1.132	0.408841302	0.648666023
chr14	ENSG00000165525	NEMF	50249997	50319921	8230	0.03	1.021	0.86446654	0.942349711
chr14	ENSG00000165521	EML5	89078775	89259096	11021	-0.028	0.981	0.912725493	0.96326746
chr14	ENSG00000165516	KLHDC2	50234326	50249909	3647	-0.145	0.904	0.407686219	0.647699395
chr10	ENSG00000165512	ZNF22	45495923	45500774	2551	-0.179	0.883	0.275679834	0.521285505
chr10	ENSG00000165511	C10orf25	45493146	45496336	3078	-0.032	0.978	0.912254037	0.963050792
chr10	ENSG00000165507	C10orf10	45466429	45474258	2979	-3.016	0.124	3.95E-15	2.10E-13
chr14	ENSG00000165506	DNAAF2	50091892	50101948	2963	-0.097	0.935	0.638594204	0.821095327
chr14	ENSG00000165502	RPL36AL	50085237	50087403	746	0.117	1.085	0.533765306	0.749777091
chr14	ENSG00000165501	LRR1	50065415	50081390	2359	0.365	1.288	0.215317285	0.452487308
chr11	ENSG00000165495	PKNOX2	125034583	125303285	6538	-1.005	0.498	0.033084671	0.133934469
chr11	ENSG00000165494	PCF11	82868030	82898493	8703	0.499	1.414	0.002972013	0.02283196
chr11	ENSG00000165490	C11orf82	82611017	82669319	5339	0.454	1.37	0.100645892	0.280486508
chr13	ENSG00000165487	MICU2	22066836	22178353	3639	-0.438	0.738	0.026165517	0.113943979
chr13	ENSG00000165480	SKA3	21727734	21750741	3048	0.608	1.525	0.029794775	0.124474386
chr10	ENSG00000165476	REEP3	65281123	65384883	5205	-0.496	0.709	0.006900767	0.043351466
chr13	ENSG00000165475	CRYL1	20977806	21099996	1761	-0.962	0.513	0.000581638	0.005852811
chr13	ENSG00000165474	GJB2	20761609	20767037	2427	-3.549	0.085	1.43E-13	6.56E-12
chr11	ENSG00000165462	PHOX2A	71950121	71956708	1784	-0.216	0.861	0.556671264	0.76613091
chr11	ENSG00000165458	INPPL1	71934745	71950149	6519	0.607	1.523	0.001358572	0.012070828
chr11	ENSG00000165457	FOLR2	71927645	71932994	1415	-5.181	0.028	2.46E-14	1.21E-12
chr10	ENSG00000165449	SLC16A9	61410523	61495760	4425	-0.299	0.813	0.415726938	0.654797795
chr10	ENSG00000165443	PHYHIPL	60936350	61007534	4093	-0.954	0.516	0.093030626	0.266742156
chr11	ENSG00000165434	PGM2L1	74041363	74109518	8515	0.07	1.049	0.751202921	0.885226812
chr10	ENSG00000165424	ZCCHC24	81142081	81205383	5051	-1.543	0.343	0.000348612	0.003840921
chr14	ENSG00000165417	GTF2A1	81641796	81687721	6819	-0.129	0.914	0.527484404	0.744995635
chr13	ENSG00000165416	SUGT1	53226844	53275044	15102	-0.258	0.836	0.19929471	0.431742223
chr14	ENSG00000165410	CFL2	35179593	35184029	3561	-0.204	0.868	0.449653792	0.684331841
chr10	ENSG00000165406	8-Mar	45950035	46090354	7537	0.036	1.025	0.836602909	0.928695929
chr8	ENSG00000165392	WRN	30891317	31031285	5634	0.065	1.046	0.798295128	0.910299297
chr14	ENSG00000165389	SPTSSA	34901995	34931562	2777	-0.214	0.862	0.250059286	0.493048403
chr14	ENSG00000165379	LRFN5	42076773	42373752	6140	-1.302	0.406	0.01617561	0.080797217
chrX	ENSG00000165359	DDX26B	134654584	134716435	7177	0.241	1.182	0.375591912	0.619399604
chr14	ENSG00000165355	FBXO33	39866873	39901704	3853	-0.009	0.994	0.966073688	0.98747857
chrX	ENSG00000165349	SLC7A3	70145432	70150975	2265	-0.488	0.713	0.475301719	0.704588306
chr10	ENSG00000165338	HECTD2	93170096	93274586	11354	-0.582	0.668	0.044540862	0.164015388
chr10	ENSG00000165322	ARHGAP12	32094365	32217742	5843	-0.181	0.882	0.279074081	0.524725767
chr10	ENSG00000165312	OTUD1	23728198	23731308	3111	-0.461	0.726	0.046161024	0.168055269
chr10	ENSG00000165309	ARMC3	23216953	23326518	6065	-0.709	0.612	0.031675222	0.12978834
chr9	ENSG00000165304	MELK	36572859	36677678	3090	0.7	1.624	0.006009803	0.039021428
chr13	ENSG00000165300	SLITRK5	88324870	88331871	4779	-2.323	0.2	0.004580088	0.031899133
chrX	ENSG00000165288	BRWD3	79926353	80065187	12694	0.078	1.056	0.752326828	0.885702168
chr9	ENSG00000165283	STOML2	35099888	35103154	1653	0.205	1.153	0.289431877	0.535781821
chr9	ENSG00000165282	PIGO	35088685	35096591	7202	0.272	1.207	0.136692645	0.342004678
chr9	ENSG00000165280	VCP	35056061	35073246	5438	0.229	1.172	0.267147335	0.511276976
chr9	ENSG00000165275	TRMT10B	37753804	37778969	2862	0.396	1.316	0.203208976	0.436633654
chr9	ENSG00000165272	AQP3	33441152	33447609	2928	-0.154	0.899	0.69169697	0.853977348
chr9	ENSG00000165271	NOL6	33461439	33473928	5930	0.421	1.339	0.023328031	0.10524522
chr9	ENSG00000165264	NDUFB6	32552997	32573160	1366	-0.26	0.835	0.196798603	0.428772156
chrX	ENSG00000165259	HDX	83572882	83757487	6895	-0.153	0.899	0.605969481	0.799486904
chr9	ENSG00000165244	ZNF367	99148223	99180611	3646	0.112	1.081	0.683262686	0.849040835
chrX	ENSG00000165240	ATP7A	77166194	77305892	8488	-0.316	0.803	0.183594197	0.410575782
chr9	ENSG00000165238	WNK2	95947198	96082854	13198	0.98	1.973	3.44E-06	6.06E-05
chr9	ENSG00000165233	C9orf89	95858500	95875565	3081	-0.091	0.939	0.695316548	0.856394366
chr9	ENSG00000165219	GAPVD1	128024073	128129486	13621	0.37	1.292	0.042022114	0.157677138
chr7	ENSG00000165215	CLDN3	73183328	73184600	1273	0.156	1.115	0.511682484	0.733035373
chr9	ENSG00000165209	STRBP	125871779	126030855	8085	0.314	1.243	0.061146625	0.202680558
chrX	ENSG00000165195	PIGA	15337573	15353676	3746	-0.439	0.738	0.069841855	0.221675367
chrX	ENSG00000165194	PCDH19	99546642	99665271	9756	0.285	1.219	0.496839806	0.721949193
chr9	ENSG00000165188	RNF183	116059373	116065656	3646	-0.006	0.996	0.985698741	0.995430834
chr9	ENSG00000165185	KIAA1958	115249127	115431677	13119	0.254	1.192	0.252260778	0.495196512
chrX	ENSG00000165175	MID1IP1	38660685	38665790	2592	0.025	1.018	0.897038838	0.956328468
chr7	ENSG00000165171	WBSCR27	73248920	73256865	1469	-0.239	0.848	0.57566777	0.778635883
chrX	ENSG00000165169	DYNLT3	37696010	37706890	3186	-1.049	0.483	2.85E-05	0.000425809
chrX	ENSG00000165168	CYBB	37639264	37672714	4423	-6.843	0.009	1.17E-33	2.67E-31
chr8	ENSG00000165156	ZHX1	124260696	124287781	6736	-0.277	0.825	0.152272609	0.365584304
chr9	ENSG00000165152	TMEM246	104235453	104295819	5568	-0.264	0.833	0.52536251	0.743340853
chr9	ENSG00000165140	FBP1	97365415	97402531	1668	-1.434	0.37	0.014523104	0.074994419
chr9	ENSG00000165138	ANKS6	101493611	101559247	8804	0.645	1.564	0.000455005	0.004790202
chr7	ENSG00000165125	TRPV6	142568956	142583507	11917	0.496	1.411	0.323592701	0.570512482
chr9	ENSG00000165124	SVEP1	113127531	113342160	14193	-4.604	0.041	6.61E-15	3.44E-13
chr9	ENSG00000165119	HNRNPK	86582998	86595569	5152	0.035	1.025	0.860035253	0.939942411
chr9	ENSG00000165118	C9orf64	86553226	86571901	2729	0.108	1.078	0.604226041	0.798709494
chr9	ENSG00000165115	KIF27	86451613	86536342	5102	0.247	1.187	0.356978806	0.603475619
chr9	ENSG00000165113	GKAP1	86354336	86444431	3381	-0.088	0.941	0.747244541	0.883949159
chr9	ENSG00000165105	RASEF	85594500	85678092	6649	0.448	1.364	0.041292666	0.156046555
chr8	ENSG00000165102	HGSNAT	42995556	43057998	8985	0.068	1.048	0.680204689	0.847171727
chr6	ENSG00000165097	KDM1B	18155560	18224084	4633	-0.056	0.962	0.786703034	0.903837424
chr9	ENSG00000165092	ALDH1A1	75515578	75695358	2849	-1.565	0.338	0.020864071	0.096923927
chr9	ENSG00000165072	MAMDC2	72658497	72841886	3854	-0.203	0.869	0.720783404	0.87088946
chr9	ENSG00000165060	FXN	71650175	71715094	2939	0.205	1.153	0.411004885	0.650356714
chr7	ENSG00000165055	METTL2B	128116783	128146656	6749	0.272	1.207	0.140806986	0.348414241
chr8	ENSG00000165046	LETM2	38243725	38267045	6114	-0.003	0.998	0.991628862	0.997449907
chr9	ENSG00000165030	NFIL3	94171327	94186144	2085	-0.541	0.687	0.070035642	0.222079884
chr9	ENSG00000165029	ABCA1	107543283	107690518	11350	-0.522	0.696	0.037177924	0.145219137
chr9	ENSG00000165028	NIPSNAP3B	107526438	107539738	2178	0.049	1.034	0.875488691	0.9473053
chr9	ENSG00000165025	SYK	93564069	93660831	5210	0.219	1.164	0.350716639	0.597433609
chr9	ENSG00000165023	DIRAS2	93372114	93405386	4385	0.196	1.145	0.646951216	0.827053168
chr9	ENSG00000165006	UBAP1	34179003	34252521	3050	0.118	1.085	0.533664517	0.749777091
chr9	ENSG00000164989	CCDC171	15552895	16061661	15223	-0.088	0.941	0.835034222	0.927976264
chr9	ENSG00000164985	PSIP1	15464064	15511017	6768	-0.174	0.886	0.64590227	0.826446693
chr8	ENSG00000164983	TMEM65	125324231	125384933	3228	-0.399	0.758	0.13424635	0.33819103
chr9	ENSG00000164978	NUDT2	34329504	34343709	1073	-0.306	0.809	0.282229645	0.528449972
chr9	ENSG00000164976	KIAA1161	34366668	34376851	6398	0.15	1.11	0.49134624	0.717582812
chr9	ENSG00000164975	SNAPC3	15422702	15465951	6684	-0.203	0.869	0.327486861	0.573990095
chr9	ENSG00000164970	FAM219A	34398182	34458568	3782	-0.045	0.969	0.85037939	0.935838644
chr9	ENSG00000164967	RPP25L	34610483	34612101	1092	0.113	1.081	0.669965395	0.841996186
chr8	ENSG00000164961	KIAA0196	126036502	126104082	4784	0.019	1.013	0.91935238	0.966122775
chr8	ENSG00000164953	TMEM67	94767072	94831462	8281	-0.207	0.866	0.386220994	0.629020833
chr8	ENSG00000164951	PDP1	94870035	94938294	5603	-0.514	0.7	0.016603659	0.082272935
chr8	ENSG00000164949	GEM	95261481	95274578	2648	-2.77	0.147	1.17E-05	0.000188372
chr9	ENSG00000164946	FREM1	14734664	14910993	10765	-1.115	0.462	0.05631419	0.192040353
chr8	ENSG00000164944	KIAA1429	95499921	95565757	10771	-0.015	0.989	0.924044919	0.967801645
chr8	ENSG00000164941	INTS8	95825539	95893974	7866	-0.167	0.891	0.366259255	0.611673392
chr8	ENSG00000164938	TP53INP1	95938200	95961639	5685	0.221	1.166	0.332320328	0.578697962
chr8	ENSG00000164934	DCAF13	104426942	104455681	6191	-0.026	0.982	0.875696785	0.947314677
chr8	ENSG00000164933	SLC25A32	104410863	104427417	3654	-0.446	0.734	0.044816993	0.164476197
chr8	ENSG00000164932	CTHRC1	104383743	104395225	1776	-2.618	0.163	6.85E-09	1.84E-07
chr8	ENSG00000164930	FZD6	104310661	104345094	4065	-0.135	0.911	0.513892675	0.73461821
chr8	ENSG00000164929	BAALC	104152938	104242533	3997	-1.474	0.36	0.008593094	0.050866155
chr8	ENSG00000164924	YWHAZ	101928753	101965616	8555	-0.28	0.824	0.17846175	0.403326694
chr8	ENSG00000164920	OSR2	99956631	99964332	2930	0.237	1.178	0.713061457	0.866149185
chr8	ENSG00000164919	COX6C	100885428	100906290	3066	-0.076	0.948	0.687723471	0.851994814
chr7	ENSG00000164916	FOXK1	4683388	4811074	13407	0.557	1.471	0.002783849	0.021739154
chr5	ENSG00000164904	ALDH7A1	125877533	125931110	6911	0.435	1.352	0.007571639	0.046442697
chr5	ENSG00000164902	PHAX	125935960	125962944	4319	0.116	1.084	0.50890625	0.730803835
chr7	ENSG00000164898	C7orf55	139024203	139031065	1524	0.175	1.129	0.451026251	0.685707638
chr7	ENSG00000164897	TMUB1	150778167	150780633	2005	0.237	1.179	0.215209778	0.452342796
chr7	ENSG00000164896	FASTK	150773711	150777953	3774	0.18	1.133	0.33258368	0.578988444
chr7	ENSG00000164889	SLC4A2	150754297	150773614	7590	0.49	1.405	0.002420436	0.01948478
chr7	ENSG00000164885	CDK5	150750899	150755617	2938	0.074	1.052	0.741933323	0.881653336
chr7	ENSG00000164880	INTS1	1509913	1545489	9588	0.375	1.297	0.092641507	0.265838277
chr7	ENSG00000164877	MICALL2	1468101	1499138	8843	-0.15	0.901	0.688612724	0.852373892
chr7	ENSG00000164867	NOS3	150688083	150711676	5953	-1.042	0.486	0.018137087	0.087578447
chr7	ENSG00000164855	TMEM184A	1581871	1600457	7805	0.469	1.384	0.019314802	0.091595127
chr7	ENSG00000164850	GPER1	1121844	1133451	3149	0.227	1.17	0.666025189	0.838919435
chr7	ENSG00000164849	GPR146	1084212	1098897	3160	-0.641	0.641	0.066188396	0.213760838
chr12	ENSG00000164845	FAM86FP	8385108	8395544	994	0.696	1.62	0.029740569	0.124440075
chr8	ENSG00000164830	OXR1	107282473	107764922	7202	-0.248	0.842	0.199163984	0.431642038
chr7	ENSG00000164828	SUN1	855528	936072	11908	0.167	1.122	0.364378443	0.609964361
chr8	ENSG00000164825	DEFB1	6728097	6735544	478	-1.062	0.479	0.043488783	0.161763529
chr8	ENSG00000164823	OSGIN2	90914087	90940116	4681	-0.405	0.755	0.037226559	0.145225554
chr7	ENSG00000164818	HEATR2	766338	829190	7238	0.04	1.028	0.842112878	0.931783739
chr7	ENSG00000164815	ORC5	103766788	103848495	3724	-0.184	0.881	0.407261738	0.647511462
chr8	ENSG00000164808	SPIDR	48173167	48648868	7477	0.079	1.056	0.634924369	0.818834438
chr8	ENSG00000164764	SBSPON	73976775	74036323	4383	-1.245	0.422	0.000244854	0.002836711
chr8	ENSG00000164761	TNFRSF11B	119935796	119964439	2827	-1.308	0.404	9.98E-05	0.001296017
chr8	ENSG00000164758	MED30	118532952	118552501	1440	-0.207	0.866	0.374886393	0.618860077
chr8	ENSG00000164754	RAD21	117858174	117887105	6192	0.021	1.015	0.913571359	0.963584803
